Designator,Mid X,Mid Y,Rotation,Layer
C1,111.8,-114.99,180.0,top
C2,104.6,-113.4,90.0,top
C3,107.2,-108.7,180.0,top
C4,110.3,-118.4,90.0,top
C5,111.75,-118.7,90.0,top
D1,105.4,-105.2,180.0,top
L1,106.3,-117.7,270.0,top
P1,117.0178,-116.0145,90.0,top
P2,117.0178,-106.0,270.0,top
Q1,112.5,-112.7,90.0,top
Q2,112.5,-109.4,90.0,top
Q3,112.5,-106.1,90.0,top
R1,106.45,-110.7,180.0,top
R10,110.2,-111.1,180.0,top
R11,110.2,-110.0,0.0,top
R12,110.2,-108.9,180.0,top
R13,110.2,-107.8,180.0,top
R14,110.2,-106.7,0.0,top
R15,107.4,-106.0,0.0,top
R16,110.5,-105.3,90.0,top
R17,109.5,-105.3,270.0,top
R18,107.4,-105.0,0.0,top
R2,107.2,-109.7,0.0,top
R3,108.1,-110.7,0.0,top
R4,106.2,-107.25,90.0,top
R5,108.6,-107.0,90.0,top
R6,109.05,-115.0,180.0,top
R7,109.05,-116.25,270.0,top
R8,109.0,-119.2,90.0,top
R9,110.2,-112.1,180.0,top
U1,106.697,-113.015,270.0,top
U2,112.0,-112.1,0.0,bottom
